"t","Yn","Y"
"2001-03-01","265337.925162667","312469.819931944"
"2001-06-01","266182.873830339","323723.55976888"
"2001-09-01","273718.624429133","332524.445736432"
"2001-12-01","283233.552437481","347037.642393674"
"2002-03-01","286907.026488508","342296.667234209"
"2002-06-01","299015.070357997","367362.824618352"
"2002-09-01","308660.584103607","379794.531635396"
"2002-12-01","320382.120540003","399333.231670411"
"2003-03-01","326517.072877415","397241.638848818"
"2003-06-01","338482.355916257","418987.336935928"
"2003-09-01","350810.437024826","439349.781582791"
"2003-12-01","364285.827086459","462371.639056953"
"2004-03-01","367463.070869842","444783.488160836"
"2004-06-01","383456.300549336","481794.960503725"
"2004-09-01","397375.668557336","505252.3183942"
"2004-12-01","411064.450462096","525920.445903801"
"2005-03-01","412724.398931327","499710.362620398"
"2005-06-01","428654.397234494","535557.41785494"
"2005-09-01","441291.750410472","552859.155156813"
"2005-12-01","457339.550408057","582457.567827848"
"2006-03-01","459084.640839183","554270.465634429"
"2006-06-01","473358.877258645","581976.856291441"
"2006-09-01","490849.623598771","617847.705984914"
"2006-12-01","510085.787488845","655354.894079216"
"2007-03-01","514525.154590207","631423.004968652"
"2007-06-01","533352.508686727","670654.703228525"
"2007-09-01","549000.27654637","691845.92375563"
"2007-12-01","568388.662624965","726339.305847193"
"2008-03-01","576069.151831391","712055.248921701"
"2008-06-01","600849.211182791","769525.15981347"
"2008-09-01","624183.843011388","812602.576158029"
"2008-12-01","638642.404462868","815620.1041668"
"2009-03-01","635705.252233733","756127.092539166"
"2009-06-01","656730.584089449","803577.495474551"
"2009-09-01","680342.946809894","852843.247414922"
"2009-12-01","710401.290555349","920491.51985136"
"2010-03-01","716507.138578917","886397.363116261"
"2010-06-01","743510.236854607","944145.01491041"
"2010-09-01","771685.347929594","997934.744733694"
"2010-12-01","802786.121334731","1057369.87723964"
"2011-03-01","809494.837498845","1016530.86621352"
"2011-06-01","841352.959966441","1086712.47068982"
"2011-09-01","864196.051726701","1112334.20665857"
"2011-12-01","892700.009832123","1160804.45643809"
"2012-03-01","901342.194692964","1129472.63340998"
"2012-06-01","928894.424201052","1183124.38392981"
"2012-09-01","956426.959862692","1230449.07074432"
"2012-12-01","983361.332099051","1271713.91191589"
"2013-03-01","992203.251108416","1241621.48582166"
"2013-06-01","1026828.45732547","1322586.12295928"
"2013-09-01","1051641.46903655","1354132.24849949"
"2013-12-01","1083379.55086461","1413279.14271956"
"2014-03-01","1093895.95464566","1385941.77619067"
"2014-06-01","1117938.1000795","1422287.73793386"
"2014-09-01","1143565.70600527","1462133.69534687"
"2014-12-01","1171529.8766987","1508589.7905286"
"2015-03-01","1174676.36219775","1456810.00806009"
"2015-06-01","1193604.60311078","1480051.53039023"
"2015-09-01","1214287.62036988","1508182.40538233"
"2015-12-01","1239117.11061874","1550743.05616735"
"2016-03-01","1240741.92712066","1499348.4012732"
"2016-06-01","1267555.4100093","1558208.9754357"
"2016-09-01","1286425.3785219","1576776.03195715"
"2016-12-01","1315189.99530055","1632871.59133395"
"2017-03-01","1318212.53606868","1583533.74133453"
"2017-06-01","1341711.6492712","1626745.12706302"
"2017-09-01","1358975.87312935","1639577.64801576"
"2017-12-01","1389390.80193876","1703986.17408668"
"2018-03-01","1390130.59019899","1644717.80258642"
"2018-06-01","1413703.09585865","1687047.10292457"
"2018-09-01","1435845.65156364","1716166.16984236"
"2018-12-01","1468219.35012486","1779654.83203261"
"2019-03-01","1469502.20786222","1713616.22190002"
